Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,9129.780273,9129.780273,8955.120117,9064.540039,9064.540039,92350000
1998-12-03,9064.799805,9082.570313,8871.450195,8879.679688,8879.679688,78460000
1998-12-04,8879.679688,9025.150391,8879.679688,9016.139648,9016.139648,69610000
1998-12-07,9017.169922,9084.110352,9003.780273,9070.469727,9070.469727,53310000
1998-12-08,9070.469727,9088.750000,8946.629883,9027.980469,9027.980469,79240000
1998-12-09,9027.150391,9050.900391,8968.509766,9009.190430,9009.190430,80310000
1998-12-10,9008.419922,9012.790039,8823.299805,8841.580078,8841.580078,95150000
1998-12-11,8839.509766,8844.929688,8730.099609,8821.759766,8821.759766,71700000
1998-12-14,8820.730469,8820.730469,8676.030273,8695.599609,8695.599609,71520000
1998-12-15,8699.459961,8823.299805,8678.610352,8823.299805,8823.299805,77340000
1998-12-16,8823.299805,8851.360352,8740.650391,8790.599609,8790.599609,70310000
1998-12-17,8787.549805,8879.940430,8785.750000,8875.820313,8875.820313,71750000
1998-12-18,8877.629883,8928.599609,8858.570313,8903.629883,8903.629883,95150000
1998-12-21,8902.969727,9079.219727,8898.740234,8988.849609,8988.849609,77840000
1998-12-22,8989.110352,9069.440430,8948.690430,9044.459961,9044.459961,58510000
1998-12-23,9044.719727,9211.040039,9043.169922,9202.030273,9202.030273,58320000
1998-12-24,9202.290039,9245.540039,9178.599609,9217.990234,9217.990234,20210000
1998-12-28,9220.570313,9262.790039,9189.410156,9226.750000,9226.750000,45910000
1998-12-29,9221.110352,9334.879883,9187.610352,9320.980469,9320.980469,51150000
1998-12-30,9320.980469,9326.389648,9268.200195,9274.639648,9274.639648,48250000
1998-12-31,9274.120117,9287.769531,9181.429688,9181.429688,9181.429688,53400000
1999-01-04,9184.009766,9350.330078,9122.469727,9184.269531,9184.269531,89410000
1999-01-05,9184.780273,9338.740234,9182.980469,9311.190430,9311.190430,79860000
1999-01-06,9315.419922,9562.219727,9315.419922,9544.969727,9544.969727,103340000
1999-01-07,9542.139648,9542.139648,9426.019531,9537.759766,9537.759766,88290000
1999-01-08,9538.280273,9647.959961,9525.410156,9643.320313,9643.320313,103250000
1999-01-11,9643.320313,9643.320313,9532.610352,9619.889648,9619.889648,98720000
1999-01-12,9618.860352,9620.150391,9451.769531,9474.679688,9474.679688,95680000
1999-01-13,9471.339844,9471.339844,9213.099609,9349.559570,9349.559570,109060000
1999-01-14,9349.559570,9359.080078,9087.719727,9120.929688,9120.929688,90510000
1999-01-15,9127.160156,9342.610352,9127.160156,9340.549805,9340.549805,79440000
1999-01-19,9343.120117,9399.250000,9210.009766,9355.219727,9355.219727,76360000
1999-01-20,9354.049805,9480.089844,9300.900391,9335.910156,9335.910156,105220000
1999-01-21,9335.910156,9377.360352,9228.549805,9264.080078,9264.080078,98340000
1999-01-22,9264.080078,9264.589844,9088.490234,9120.669922,9120.669922,93640000
1999-01-25,9120.669922,9203.830078,9063.259766,9203.320313,9203.320313,89250000
1999-01-26,9203.320313,9329.990234,9188.379883,9324.580078,9324.580078,90780000
1999-01-27,9325.360352,9385.860352,9195.339844,9200.230469,9200.230469,88800000
1999-01-28,9203.570313,9301.150391,9203.570313,9281.330078,9281.330078,80490000
1999-01-29,9281.589844,9383.280273,9224.169922,9358.830078,9358.830078,86050000
1999-02-01,9359.599609,9430.660156,9341.580078,9345.700195,9345.700195,77790000
1999-02-02,9342.610352,9344.919922,9198.169922,9274.120117,9274.120117,82520000
1999-02-03,9272.580078,9398.219727,9239.620117,9366.809570,9366.809570,89760000
1999-02-04,9365.150391,9397.959961,9274.889648,9304.500000,9304.500000,88340000
1999-02-05,9305.019531,9347.240234,9247.339844,9304.240234,9304.240234,88360000
1999-02-08,9301.589844,9334.879883,9209.240234,9291.110352,9291.110352,72880000
1999-02-09,9291.110352,9305.019531,9123.250000,9133.030273,9133.030273,73550000
1999-02-10,9133.910156,9183.490234,9099.040039,9177.309570,9177.309570,86030000
